,0
Prdm12,-3.3462958
Slc18a3,-3.583431
Meis2,-3.6230366
Kdr,-3.6511514
Ly6a,-3.707088
Paqr5,-3.7345483
Fn1,-3.7795963
Gjb2,-3.802931
Ano1,-3.829756
Pthlh,-3.8957653
Slc6a3,-3.9917166
Acvrl1,-4.0148964
Slfn5,-4.123275
Pln,-4.136143
Col1a1,-4.2170143
Npy,-4.3830776
Cldn5,-4.4132285
Igfbp6,-4.4471884
Slc13a4,-4.450625
Adgrl4,-4.5655875
Cd93,-4.6040955
Pglyrp1,-4.7273984
Dcn,-4.7833076
Cyp1b1,-4.790544
Fmod,-4.94375
Igf2,-5.013146
Spp1,-5.4616413
Sox17,-5.561385
Aldh1a2,-5.5629144
Rxfp1,-6.7547765
