,lfc,blocks,p,margin,lfc_B1,lfc_B2,lfc_B3,lfc_B4
Cux2,-0.38464117,4,0.02857142857142857,0.059022903,-0.3123846,-0.61114883,-0.3196802,-0.29535103
Deptor,0.33293605,3,0.2857142857142857,-0.6121712,0.2571373,0.53692436,-0.031132698,0.56881523
Dkk3,0.024306297,3,0.9428571428571428,-0.56464577,0.103458405,0.101943016,-0.30762482,0.19944859
Dner,0.07501459,3,0.42857142857142855,-0.21461582,0.1310749,0.1255951,0.13968945,-0.09630108
Dpy19l1,-0.01594925,3,0.7142857142857143,-0.27330303,0.0111579895,-0.056865692,-0.008314133,-0.009775162
Dpyd,0.47782063,3,0.08571428571428572,-0.14366531,0.86535835,0.29715443,-0.0479393,0.79670906
Epha4,-0.20086527,3,0.34285714285714286,-0.40027523,-0.2275486,-0.5522194,0.40027523,-0.42396832
Fgd5,0.79128695,4,0.08571428571428572,-0.022089958,0.8010359,1.6475658,0.08228111,0.63426495
Fhod3,-0.24972701,4,0.05714285714285714,-0.100972176,-0.48216343,-0.20537567,-0.0703907,-0.24097824
Fibcd1,-0.6558652,4,0.05714285714285714,-0.54278946,-0.1845665,-0.94227505,-0.2506237,-1.2459955
Fos,-2.8910832,4,0.02857142857142857,0.8705759,-5.3766265,-1.3974524,-0.90643215,-3.8838224
Gad1,0.084604025,1,0.8,-0.96584415,-0.31442642,-0.021940231,-0.20911694,0.8838997
Gad2,0.15581441,3,0.4,-0.33306885,-0.2745819,0.2302208,0.31232548,0.35529327
Gadd45a,0.07029486,2,0.8285714285714286,-0.49474812,0.47681427,0.4315939,-0.24974442,-0.37748432
Galnt14,-0.010168314,2,0.9714285714285714,-0.66744614,0.049487114,-0.24327183,-0.19499207,0.34810352
Garnl3,-0.4082899,4,0.02857142857142857,0.05871296,-0.45246315,-0.6054468,-0.1815691,-0.39368057
Gfap,0.36766505,2,0.3142857142857143,-0.65448284,-0.4069767,-0.34314156,0.86290646,1.357872
Gfra2,-0.30417085,4,0.02857142857142857,0.110705376,-0.33813095,-0.5496416,-0.110705376,-0.21820545
