,lfc,blocks,p,margin,fold,changes
Dpy19l1,-0.01594925,3,0.7142857142857143,-0.27330303,0.9890057,False
Strip2,-0.017885923,2,0.8571428571428571,-0.47172546,0.98767895,False
Nrp2,-0.024666786,2,0.7428571428571429,-0.17973232,0.9830476,False
Kcnh5,-0.025621414,2,0.8285714285714286,-0.5986347,0.9823974,False
Cpne6,-0.028580427,3,0.5428571428571428,-0.18239021,0.98038447,False
Nrep,-0.03133154,3,0.8285714285714286,-0.22866154,0.97851676,False
Btbd11,-0.033288717,2,0.6857142857142857,-0.30630875,0.9771902,False
Cpne4,-0.033980608,2,0.9428571428571428,-0.83579826,0.97672164,False
Hrh3,-0.035437584,2,0.8,-0.5626011,0.9757358,False
Acsbg1,-0.038299322,2,0.9142857142857143,-0.596097,0.9738022,False
Cbln1,-0.03974247,2,0.8,-0.76947594,0.97282857,False
Sdk2,-0.04641676,2,0.7714285714285715,-0.4979992,0.96833843,False
Pcsk5,-0.047577858,2,0.6571428571428571,-0.1673212,0.9675594,False
Tle4,-0.04810953,3,0.7714285714285715,-0.44177818,0.9672029,False
Rmst,-0.04981661,4,0.3142857142857143,-0.058153152,0.96605915,False
Rprm,-0.04995203,2,0.6571428571428571,-0.5271597,0.96596843,False
Plch1,-0.059557438,3,0.7714285714285715,-0.5228586,0.9595584,False
Zfpm2,-0.062066793,1,0.7714285714285715,-0.28250694,0.95789087,False
Slc1a2,-0.082163095,3,0.7428571428571429,-0.720973,0.9446403,False
Cacna2d2,-0.1073575,3,0.2571428571428571,-0.122003555,0.9282868,False
Rspo1,-0.13537145,3,0.6857142857142857,-0.5823059,0.9104354,False
Unc13c,-0.14397764,2,0.8,-0.59558296,0.9050205,False
Cdh20,-0.14729476,2,0.7142857142857143,-0.38116646,0.902942,False
Pomc,-0.16176236,4,0.7714285714285715,-2.0895972,0.8939324,False
Bdnf,-0.17204094,3,0.42857142857142855,-0.64785194,0.8875862,False
Penk,-0.17330527,2,0.6285714285714286,-0.5850458,0.88680863,False
Sipa1l3,-0.18888712,4,0.17142857142857143,-0.1909523,0.8772822,False
Pdzd2,-0.19868517,3,0.34285714285714286,-0.45729637,0.8713443,False
Epha4,-0.20086527,3,0.34285714285714286,-0.40027523,0.8700286,False
Id2,-0.20262003,3,0.2,-0.3129902,0.86897105,False
Nell1,-0.20917487,3,0.2,-0.10468006,0.86503184,False
Gjc3,-0.21320605,3,0.5428571428571428,-0.7449789,0.86261815,False
Necab2,-0.23027182,2,0.2571428571428571,-0.19829082,0.8524743,False
Mdga1,-0.23802614,4,0.2,-0.3372116,0.8479046,False
Fhod3,-0.24972701,4,0.05714285714285714,-0.100972176,0.8410556,False
Thsd7a,-0.26688457,3,0.14285714285714285,-0.15609741,0.8311124,False
Cdh13,-0.27398658,4,0.08571428571428572,-0.17486668,0.8270311,False
2010300C02Rik,-0.2902832,3,0.2,-0.34204292,0.8177415,False
Nrn1,-0.29579973,4,0.08571428571428572,-0.02429676,0.8146206,False
Adcyap1,-0.30305195,4,0.17142857142857143,-0.4017172,0.8105359,False
Gfra2,-0.30417085,4,0.02857142857142857,0.110705376,0.80990756,True
Cd24a,-0.32224274,2,0.3142857142857143,-0.54094696,0.79982555,False
Lypd6,-0.32263184,3,0.4,-0.81852055,0.79960984,False
Synpr,-0.33668566,4,0.02857142857142857,0.06871319,0.7918584,True
Cdh9,-0.3467331,3,0.2,-0.3260517,0.78636277,False
Laptm5,-0.3482201,2,0.4857142857142857,-1.5711956,0.7855527,False
Ndst3,-0.35571074,3,0.4,-0.17285156,0.78148454,False
Ndst4,-0.36979032,3,0.3142857142857143,-0.6518202,0.77389497,False
Npy4r,-0.37361383,3,0.4,-0.98354435,0.77184665,False
Cux2,-0.38464117,4,0.02857142857142857,0.059022903,0.7659695,True
Angpt1,-0.38795447,3,0.3142857142857143,-0.19345093,0.7642124,False
Prdm8,-0.38909578,4,0.14285714285714285,-0.18527508,0.7636081,False
Pnoc,-0.38929367,2,0.5428571428571428,-1.5573158,0.7635033,False
Cdh4,-0.3977542,3,0.08571428571428572,-0.061382294,0.759039,False
Necab1,-0.40454078,4,0.11428571428571428,-0.260334,0.7554768,False
Garnl3,-0.4082899,4,0.02857142857142857,0.05871296,0.753516,True
Prr16,-0.42049718,3,0.17142857142857143,-0.34714794,0.7471671,False
Neto2,-0.42350388,4,0.08571428571428572,-0.05035019,0.7456116,False
Th,-0.4354148,3,0.4857142857142857,-0.23862839,0.73948115,False
Slc17a6,-0.43688464,4,0.11428571428571428,-0.24446106,0.7387281,False
Nts,-0.45045352,2,0.22857142857142856,-0.64080715,0.7318128,False
Myo16,-0.48560643,4,0.08571428571428572,-0.24843693,0.7141968,False
Cntnap5b,-0.5052173,3,0.2571428571428571,-0.7626295,0.70455426,False
Hcrt,-0.50550056,3,0.6,-2.016737,0.7044159,False
Opn3,-0.5222819,3,0.11428571428571428,-0.33428383,0.6962697,False
Calb2,-0.5619955,4,0.02857142857142857,0.032835007,0.6773646,True
Cabp7,-0.5688653,3,0.11428571428571428,-0.2813692,0.67414683,False
Sorcs3,-0.5781238,4,0.05714285714285714,-0.2528267,0.6698343,False
Nwd2,-0.58635354,4,0.14285714285714285,-0.28455067,0.6660242,False
Plcxd2,-0.5933509,4,0.02857142857142857,0.11631966,0.6628017,True
Rnf152,-0.6090443,4,0.02857142857142857,0.06810188,0.6556309,True
Fibcd1,-0.6558652,4,0.05714285714285714,-0.54278946,0.6346947,False
Crhr2,-0.66624045,4,0.14285714285714285,-0.6841965,0.6301466,False
Chrm2,-0.701205,3,0.2,-0.92469597,0.61505824,False
Mapk4,-0.71798015,3,0.08571428571428572,-0.25127792,0.607948,False
Kctd8,-0.7401352,4,0.11428571428571428,-0.60464764,0.59868324,False
Gsg1l,-0.7506156,3,0.22857142857142856,-0.36358452,0.59434986,False
Nostrin,-0.80706,4,0.11428571428571428,-0.28146744,0.57154536,False
Tmem132d,-0.84545755,4,0.02857142857142857,0.2943287,0.5565343,True
Hmcn1,-0.8467933,3,0.42857142857142855,-1.2594461,0.55601925,False
Opalin,-0.86003554,4,0.11428571428571428,-0.2598877,0.550939,False
Tacr1,-1.2688062,4,0.02857142857142857,0.1547451,0.41500303,True
Fos,-2.8910832,4,0.02857142857142857,0.8705759,0.13480227,True
