,abundance
M493,0.7530529172320217
M399,0.4435541565316926
P953,0.5248637372989705
Q378,0.4958798220666521
F536,0.2625603179108714
G_073,0.5951506245407788
K238,0.515234399847338
F739,0.6095562692534574
